pmid,year,title,first_last_authors,journal,species,cell_line,n_cells_per_aggregate,chir_uM,chir_onset_h,chir_offset_h,base_media,harvest_timepoints_h,imaging_modalities,fluorescent_reporters,morphology_quantified,morphology_metric,morphology_n,morphology_timepoint_h,elongation_pct,shape_distribution_figure,variability_addressed,key_perturbation,key_finding,full_text_source,pmcid,extraction_reviewed
39282277,2024,The proteomic landscape and temporal dynamics of mammalian gastruloid development.,K … K,bioRxiv : the preprint server for biology,both,"E14Tg2a, H9, RUES2-GLR","300 (mouse), 4000 (human)","3 (mouse), 1 (human early), 4 (human pre-treatment)","48 (mouse), 48 (human)","72 (mouse), continuous (human)","N2B27 (mouse), Essential 6 (human)","72, 144 (mouse), 24, 120 (human)",not reported,not reported,N,not reported,not reported,not reported,not reported,N,Y,none / descriptive study,"Quantitative proteomics and phosphoproteomics reveal biologically coherent temporal shifts across human and mouse gastruloid development, with conserved shifts in metabolic pathways and developmental markers despite modest late-stage correlation between species.",PMC,11398484.0,False
39063166,2024,BPA Exposure Affects Mouse Gastruloids Axial Elongation by Perturbing the Wnt/β-Catenin Pathway.,Paola … Silvia,International journal of molecular sciences,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,BPA exposure during Wnt/β-catenin pathway activation,BPA exposure arrests gastruloid axial elongation by perturbing the Wnt/β-catenin pathway and reducing β-catenin protein expression.,abstract only,11276681.0,False
39020177,2024,Symbolic recording of signalling and cis-regulatory element activity to DNA.,Wei … Jay,Nature,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"ENGRAM is a multiplex genomic recording strategy that enables biologically conditional recording of signal-specific barcodes to DNA, allowing measurement of past cellular states and integration of signaling activity over time.",PMC,11357993.0,False
38838673,2024,Coordination between endoderm progression and mouse gastruloid elongation controls endodermal morphotype choice.,Naama … Iftach,Developmental cell,mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,Y,not reported,not reported,not reported,not reported,unclear,Y,Nodal inhibition / endoderm progression intervention,Coordination between endoderm progression and gastruloid elongation controls endodermal morphotype choice and can reduce morphogenetic variability in vitro.,abstract only,,False
38937030,2024,The fusion of physics and biology in early mammalian embryogenesis.,Walter … Mijo,Current topics in developmental biology,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Biomechanics intertwining physical forces and biological processes is critical in cell fate decisions and tissue patterning during mammalian embryogenesis, with in vitro models like gastruloids beginning to faithfully recapitulate human development stages.",abstract only,,False
39194406,2024,Three-dimensional stem cell models of mammalian gastrulation.,A … Alfonso,"BioEssays : news and reviews in molecular, cellular and developmental biology",human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"Pluripotent stem cell models, particularly gastruloids, are emerging as useful tools to understand mammalian gastrulation and address open questions difficult to tackle with embryo studies.",abstract only,11589689.0,False
38451093,2024,CDX2 dose-dependently influences the gene regulatory network underlying human extraembryonic mesoderm development.,A … G,Biology open,human,WTC11-LaminB (AICS-0013 cl.210),not reported,not reported,not reported,not reported,mTeSR-Plus,48,widefield-fluorescence,"SOX2, TBXT, CDX2, LMNB1",N,not reported,not reported,not reported,not reported,N,N,"CDX2 dose titration (WT, CDX2-Het, CDX2-KO via CRISPR/Cas9)","CDX2 dose-dependently influences gene regulatory networks underlying extraembryonic mesoderm development, with over two-thirds of misregulated genes in CDX2-Het also misregulated in CDX2-KO, particularly affecting WNT and BMP signaling pathways, cell adhesion, and cytoskeletal regulators.",PMC,10979512.0,False
39394407,2024,Retinoid-enhanced human gastruloids.,Alexandra … V,Nature cell biology,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,abstract only,,False
38306399,2024,The shapes of elongating gastruloids are consistent with convergent extension driven by a combination of active cell crawling and differential adhesion.,A … Stefan,PLoS computational biology,unspecified,E14,200,3,48,72,N2B27,"48, 72, 96","widefield-fluorescence, confocal","mCherry-GPI, DAPI, SOX2",Y,"L2/L1, L3/L1 (LOCO-EFA coefficients)",545,"72, 96",not reported,Y,Y,"ROCK inhibition (Y-27632), computational modeling of differential adhesion and cell crawling mechanisms","Gastruloid elongation requires a combination of active cell crawling and differential adhesion, as differential adhesion alone is insufficient to explain the observed complex shape distributions.",PMC,10866519.0,False
38367697,2024,Validation of a mouse 3D gastruloid-based embryotoxicity assay in reference to the ICH S5(R3) guideline chemical exposure list.,Carrell … Yusuke,"Reproductive toxicology (Elmsford, N.Y.)",mouse,P19C5,200,not reported,not reported,not reported,"MEM α, no nucleosides",96,brightfield,none,Y,"area, elongation distortion index (EDI), aspect ratio (AR)",not reported,96,not reported,N,Y,ICH S5(R3) reference chemical exposure titration across 32 pharmaceutical drugs and metabolites,"The mouse P19C5 gastruloid assay demonstrated sensitivity comparable to in vivo rodent data within an 8-fold concentration margin for 18 of 24 reference drugs (75%), validating it as an effective non-animal method for developmental and reproductive toxicity assessment.",PMC,11016378.0,False
38405970,2024,"Induction and <i>in silico</i> staging of human gastruloids with neural tube, segmented somites & advanced cell types.",Nobuhiko … Jay,bioRxiv : the preprint server for biology,both,RUES2-GLR,4000–5000,0.5,72,96,Essential 6,"24, 48, 72, 96, 120",confocal,not reported,Y,elongation,not reported,120,89,N,N,discontinuous retinoic acid (RA) regimen,"A discontinuous regimen of retinoic acid robustly induces human gastruloids with a neural tube and segmented somites, achieving 89% efficiency of embryo-like morphological structures.",PMC,10888963.0,False
38752370,2024,Genome-Wide CRISPR Screen Identifies an NF2-Adherens Junction Mechanistic Dependency for Cardiac Lineage.,Mick … S-Y,Circulation,human,hESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,MYH6-GFP,N,not reported,not reported,not reported,not reported,N,N,NF2 knockout via CRISPR-Cas9,NF2 is essential for early cardiomyocyte lineage specification through FERM domain-dependent formation of an AMOT-NF2-YAP scaffold complex at adherens junctions that sequesters YAP and relieves regulatory roadblocks during epithelial-mesenchymal transition.,abstract only,,False
38163088,2024,Human peri-gastruloids: a significant advancement in embryology research.,Qin … Da,MedComm,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"Peri-gastruloids comprise both embryonic and extraembryonic tissues, mirroring developmental events from post-implantation through early organogenesis including amniotic and yolk sac cavity emergence and bilaminar to trilaminar embryonic disc progression.",abstract only,10757121.0,False
38636516,2024,Mannose controls mesoderm specification and symmetry breaking in mouse gastruloids.,Chaitanya … Benjamin,Developmental cell,mouse,mESC unspecified,200-300,3,48,not reported,N2B27,"96, 120","confocal, widefield-fluorescence","T/Bra-HCR, Sox2-HCR, Slc2a1-HCR, Slc2a3-HCR, Wnt3a-HCR, Etv4-HCR, Lef1-HCR, Hoxc6-HCR, Sox1-HCR, Axin2-HCR, Glut1-immunostaining, Glut3-immunostaining, DAPI",Y,ratio of major to minor axes,not reported,"96, 120",not reported,Y,Y,2-DG glycolysis inhibition; mannose supplementation; glucose concentration titration,"Mannose, which competes with 2-DG in N-glycosylation, is required for mesoderm specification and gastruloid elongation, acting through the Wnt signaling pathway via proper glycosylation of Frzb.",PMC,7619011.0,False
39358450,2024,Recording morphogen signals reveals mechanisms underlying gastruloid symmetry breaking.,M … E,Nature cell biology,mammalian,E14tg2a,not reported,3,72,24,2i+LIF,"48, 72, 96, 108, 144","widefield-fluorescence, live-imaging","TCF/LEF-iRFP-PEST, DsRed, GFP, AR8-Cerulean, IBRE4-Cerulean",Y,elongation ratio,not reported,108,not reported,Y,Y,CHIR99021 pulse with Nodal/BMP signal recording,"Gastruloid symmetry breaking occurs through a cell sorting mechanism where spontaneous Nodal and BMP signals create intrinsic heterogeneity that determines anterior-posterior cell fates before morphological polarization, followed by cell migration that sorts distinct populations into a single Wnt-active posterior pole.",PMC,11806519.0,False
38881849,2024,Polarization of organoids by bioengineered symmetry breaking.,Ryun … Woong,IBRO neuroscience reports,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Engineering techniques for controlling organoid polarization require improved temporal controllability alongside spatial regulation, with optogenetics, chemigenetics, and context-controllable hydrogels as promising approaches for better mimicking developmental symmetry breaking.",PMC,11176950.0,False
39386623,2024,An explainable map of human gastruloid morphospace reveals gastrulation failure modes and predicts teratogens.,Joseph … Z,bioRxiv : the preprint server for biology,human,H9,5×10^5,not reported,not reported,not reported,mTeSR Plus,48,"confocal, widefield-fluorescence","GATA3, Brachyury, SOX2, β-Catenin-tdmRuby2, DAPI",Y,"azimuthal signal distribution, spatial distribution of cell fate markers",~2000,48,not reported,Y,Y,drug screen with 210 compounds from Stem Cell Signaling Compound Library,High-throughput perturbation mapping identifies 12 distinct morphological phenotypes of human gastruloids and reveals that cell density and SOX2 stability are key parameters determining canonical germ layer patterning outcomes.,PMC,11463602.0,False
38421638,2024,HBO1 determines SMAD action in pluripotency and mesendoderm specification.,Cong … Guangjin,Nucleic acids research,human,H1,not reported,not reported,not reported,not reported,mTeSR1,not reported,"brightfield, widefield-fluorescence","SOX2, TUJ1, MAP2, OCT4, NANOG",N,not reported,not reported,not reported,not reported,N,N,HBO1 gene knockout and inducible overexpression,"HBO1, a histone acetyltransferase, determines SMAD action and is required for pluripotency maintenance in human ESCs; HBO1-deficient hESCs spontaneously differentiate towards neuroectoderm fate rather than maintaining pluripotency.",PMC,11109972.0,False
39580459,2024,Gastruloids are competent to specify both cardiac and skeletal muscle lineages.,Laurent … Fabienne,Nature communications,mouse,"R1/E #1036, Zx1, Mef2c-cre Rosa tdTomato",300-600,1-3,48,72,N2B27,"96, 120, 144, 168, 264","brightfield, widefield-fluorescence","cTnT, VEGFR2, E-cadherin, Hoxc4, Mesp1, Isl1, Tbx1, Tnnt2, Tcf21, Myod, Myf5",Y,elongation,not reported,96,86.79,N,Y,"extended culture protocol to day 11 with CHIR99021 pulse and cardiogenic factors (bFGF, VEGF, ascorbic acid) from day 4-7",Gastruloids cultured for 11 days robustly express cardiopharyngeal mesoderm markers and differentiate into both cardiomyocyte and skeletal myoblast lineages with spatio-temporal gene expression patterns similar to mouse embryos.,PMC,11585638.0,False
38411343,2024,TBXT dose sensitivity and the decoupling of nascent mesoderm specification from EMT progression in 2D human gastruloids.,A … G,"Development (Cambridge, England)",human,hESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,TBXT dosage reduction (wild-type vs heterozygous vs null),"TBXT dosage directly influences the temporal progression of epithelial-to-mesenchymal transition without compromising nascent mesoderm differentiation, demonstrating that EMT progression can be decoupled from mesodermal identity acquisition.",abstract only,11006400.0,False
38854146,2024,Transcriptional remodeling by OTX2 directs specification and patterning of mammalian definitive endoderm.,S … M,bioRxiv : the preprint server for biology,human,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"SOX17, FOXA2, SOX2, OCT4, T, EGFP",N,not reported,not reported,not reported,not reported,N,N,OTX2 acute degradation via dTAG system,"OTX2 is required for definitive endoderm specification and anterior endoderm patterning, functioning as a direct regulator of enhancers controlling signaling, cell adhesion, and gut tube development.",PMC,11160813.0,False
39164488,2024,Retinoic acid induces human gastruloids with posterior embryo-like structures.,Nobuhiko … Jay,Nature cell biology,both,"RUES2-GLR, H9, WTC11","400 (conventional), 4000-5000 (RA-gastruloid)","3.25 (pre-treatment), 0.5 (conventional), 1 (RA-gastruloid)",72 (day 3 pre-treatment),"96 (conventional), 120 (RA-gastruloid)","Nutristem, Essential 6, Essential 8","24, 48, 72, 96, 120","brightfield, widefield-fluorescence","SOX2-mCit, TBXT-mCer, SOX17-tdTomato",Y,"elongation, morphological features",not reported,"96, 120",not reported,Y,Y,Retinoic acid (RA) supplementation with Matrigel,"Early retinoic acid pulse combined with Matrigel robustly induces human gastruloids with posterior embryo-like structures including neural tube and segmented somites, advancing beyond conventional human gastruloids.",PMC,11469962.0,False
39552366,2024,Early autonomous patterning of the anteroposterior axis in gastruloids.,Kerim … Vikas,"Development (Cambridge, England)",mouse,Bra::GFP mESCs (T::GFP),not reported,3,48,72,N2B27,"24, 48, 72","widefield-fluorescence, light-sheet, brightfield","T::GFP, Sox2, Foxa2, Aldh1a2, Eomes, SIR-DNA",N,not reported,not reported,not reported,not reported,N,Y,none / descriptive study,"Autonomously patterning gastruloids establish anteroposterior axis through T polarization by 48 hours post-aggregation, before CHIR99021 stimulation, with concomitant spatial segregation of T+ posterior mesoderm and Sox2+ anterior neuroectoderm domains.",PMC,11607688.0,False
38754429,2024,Deciphering lineage specification during early embryogenesis in mouse gastruloids using multilayered proteomics.,Suzan … Michiel,Cell stem cell,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,"degron-based perturbations, ZEB2 perturbation",Multilayered proteomics analysis revealed temporal protein expression dynamics during gastruloid differentiation and identified a critical role for ZEB2 in mouse and human somitogenesis.,abstract only,,False
38585971,2024,Extended culture of 2D gastruloids to model human mesoderm development.,Bohan … Idse,bioRxiv : the preprint server for biology,human,"ESI017, PGP1, H9 T-neon",not reported,not reported,not reported,not reported,mTeSR1,"48, 72, 96","confocal, widefield-fluorescence, live-imaging","T-neon, SOX2, BRA, ISL1, NANOG, OCT4, EPCAM, ECAD, SNAI1, NCAD, VIM, PODXL, EOMES, MIXL1, TBXT, WNT8A, H2B-RFP, DAPI",Y,"colony thickness, radial position, edge height, colony diameter, radial fluorescence distributions",not reported,"48, 72, 96",not reported,Y,Y,"BMP4 treatment with signaling manipulation (BMP, Wnt, Nodal balance)","Extended 2D micropatterned gastruloids self-organize into a reproducible layered 3D structure over 4 days with inward and outward mesodermal migration from a primitive streak-like ring, recapitulating human gastrulation and mesoderm development.",PMC,10996563.0,False
38328098,2024,CDX2 dose-dependently influences the gene regulatory network underlying human extraembryonic mesoderm development.,A … G,bioRxiv : the preprint server for biology,human,WTC11-LaminB (AICS-0013 cl.210),not reported,not reported,not reported,not reported,mTeSR-Plus,48,not reported,LMNB1-GFP,N,not reported,not reported,not reported,not reported,N,N,"CDX2 allelic series (WT, CDX2-Het, CDX2-KO) with BMP4 treatment","CDX2 dose-dependently influences gene regulatory networks underlying extraembryonic mesoderm development, with over 2/3 of genes misregulated in CDX2-Het also misregulated in CDX2-KO, particularly affecting WNT5B expression and VEGF signaling pathways critical for vasculogenesis.",PMC,10849648.0,False
37478861,2023,Modeling post-implantation stages of human development into early organogenesis with stem-cell-derived peri-gastruloids.,Lizhong … Jun,Cell,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,not reported,none / descriptive study,"Human extended pluripotent stem cells self-organize into peri-gastruloids containing both embryonic and extraembryonic tissues that recapitulate critical stages of human peri-gastrulation development including cavity formation, embryonic disc development, and early organogenesis.",abstract only,,False
37333235,2023,Recording morphogen signals reveals origins of gastruloid symmetry breaking.,M … E,bioRxiv : the preprint server for biology,mammalian,E14tg2a,not reported,3,72,not reported,2i + LIF,"48, 72, 96, 108, 144","widefield-fluorescence, live-imaging","TOPFlash P_TCF/LEF-iRFP-PEST, DsRed, PARS8-Cerulean, PIBRE4-Cerulean",Y,"center of mass, standard deviation of normalized pixel intensities",76,90,not reported,Y,Y,CHIR99021 pulse timing and duration optimization; Wnt signaling pathway monitoring,"Gastruloid symmetry breaking involves an ordered sequence of signaling events where pre-existing heterogeneity in Nodal/BMP signaling influences the transition of Wnt signaling from uniform to bimodal to polarized states, with early Wnt signaling states predicting future cell fate and position along the anterior-posterior axis.",PMC,10274695.0,False
37526602,2023,Gastruloid-derived primordial germ cell-like cells develop dynamically within integrated tissues.,B … Naomi,"Development (Cambridge, England)",mouse,"Blimp1:GFP, Blimp1:mVenus Stella:eCFP (BVSC), Sox17 −/−, Foxa2 −/−, Bmpr1a −/−, Spry4:Venus, Spry4:Venus Fgf4 −/−",300,3,48,continuous,N2B27,"24, 72, 96, 120, 144","confocal, widefield-fluorescence","Blimp1:GFP, Blimp1:mVenus, Stella:eCFP, AP2γ, OCT4, NANOG, FOXA2, SOX17, E-cadherin, EpCAM, PECAM1, DAZL, GATA4",Y,"elongation, polarisation",134,120,78.3,Y,Y,"Signalling pathway perturbation (BMP, Wnt, FGF inhibition) to determine role in PGC specification","Gastruloids generate a population of primordial germ cell-like cells (Gld-PGCLCs) that mature to E14.5-equivalent stages through coordinated development with somatic tissues, with Wnt and FGF signalling playing greater roles than BMP in determining germline-to-soma balance.",PMC,10508693.0,False
37986746,2023,TBXT dose sensitivity and the decoupling of nascent mesoderm specification from EMT progression in 2D human gastruloids.,A … G,bioRxiv : the preprint server for biology,human,WTC11-LaminB,not reported,not reported,not reported,not reported,mTeSR-Plus,48,widefield-fluorescence,"SOX2, EOMES, SOX17, CDX2, pSMAD1/5, WNT3a, NODAL, LEFTY, LMNB1-GFP",N,not reported,not reported,not reported,not reported,N,Y,"TBXT allelic series (WT, TBXT-Het, TBXT-KO) with CRISPR/Cas9 genome editing","TBXT dose is required for the timing of EMT and acquisition of mesenchymal character in nascent mesoderm, independent of initial mesodermal identity specification.",PMC,10659276.0,False
37497450,2023,A New Approach to Generate Gastruloids to Develop Anterior Neural Tissues.,Mehmet … Matthias,Bio-protocol,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,Wnt signaling pathway inhibition,Inhibition of Wnt signaling in epiblast-like aggregates establishes extended axial patterning and enables co-derivation of anterior neural progenitors and posterior tissues.,abstract only,10366998.0,False
37190101,2023,Pluripotent Stem Cells as a Model for Human Embryogenesis.,Daniela … Fabián,Cells,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Pluripotent stem cells can form 3D structures such as blastoids and gastruloids that simulate early embryonic development stages and enable study of human embryogenesis through examination of cellular interactions and spatial organization.,abstract only,10136597.0,False
37882990,2023,Spatial Single Cell Analysis of Proteins in 2D Human Gastruloids Using Iterative Immunofluorescence.,Emily … Idse,Current protocols,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,widefield-fluorescence,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,An iterative immunofluorescence protocol enables simultaneous measurement of over 27 proteins in 2D human gastruloids to interrogate spatial cell signaling and fate decisions during pattern formation.,abstract only,11132115.0,False
38095554,2023,Haematopoietic development and HSC formation in vitro: promise and limitations of gastruloid models.,Liza … Cristina,Emerging topics in life sciences,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Gastruloids are pluripotent stem cell-derived 3D aggregates that self-organise multi-tissue structures and hold potential for understanding haematopoietic stem cell specification and enabling HSC production in vitro.,abstract only,10754337.0,False
37514083,2023,Budesonide Analogues Preserve Stem Cell Pluripotency and Delay 3D Gastruloid Development.,Filomena … Cristina,Pharmaceutics,unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,budesonide and CHD-030498 analogue treatment,"CHD-030498, a budesonide analogue, prevents stem cell pluripotency exit and delays 3D gastruloid development at lower doses than budesonide.",abstract only,10383393.0,False
37590131,2023,Control of gastruloid patterning and morphogenesis by the Erk and Akt signaling pathways.,J … E,"Development (Cambridge, England)",mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,Erk and Akt signaling pathway manipulation,"Erk and Akt signaling gradients control gastruloid patterning and morphogenesis, with Erk activation sufficient to induce tissue shape changes and convert gastruloids to mesodermal fates depending on anteroposterior position.",abstract only,11106667.0,False
38087891,2023,Stem cell-derived models of spinal neurulation.,Camil … Vanessa,Emerging topics in life sciences,both,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,"Recent in vitro models of human and mouse trunk morphogenesis, such as gastruloids, form spinal neural plate-like or neural tube-like structures and offer new avenues to study normal and pathological neurulation.",abstract only,,False
37897953,2023,Modifying gastruloids to dissect mechanisms of tissue-specific induction.,A … Jennifer,Current opinion in genetics & development,unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"This is a review article exploring how minimal models including gastruloids can dissect mechanisms of tissue-specific induction and patterning, and whether self-organization can generate appendicular axes or if experimentally induced organizers are required.",abstract only,,False
37694611,2023,The people behind the papers - Christopher Cooke and Naomi Moris.,,"Development (Cambridge, England)",mouse,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,not reported,"A PGC-like cell population was identified in mouse gastruloids, providing new insight into signals contributing to PGC specification and maturation.",abstract only,,False
38054574,2023,Learning the mechanobiology of development from gastruloids.,Pierre-François … Sham,Emerging topics in life sciences,unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Gastruloids acquire their organization and shape through cell biochemical and mechanical activities, and mechanobiology concepts are essential to understanding gastruloid development.",abstract only,,False
37209681,2023,Multimodal characterization of murine gastruloid development.,Simon … Prisca,Cell stem cell,mouse,mESC unspecified,300,3,48,continuous,N2B27,"0, 36, 48, 56, 60, 72, 84, 96, 120","confocal, widefield-fluorescence","DAPI, pAKT2, ALK4, β-catenin, Brachyury, Cdx2, Dppa4, E-cadherin, EGFR, Fibronection, FoxA2, Gata6, Hes1, Ki67, N-cadherin, Nanog, Nestin, Oct3/4, Otx1/2, Otx2, p44/42 MAPK, Pax6, Phospho-p44/42 MAPK, Phospho Smad2, Sox1, Sox2, Tbr2/Eomes, Tuj1",Y,axial elongation,not reported,not reported,not reported,unclear,Y,Wnt activation via CHIR99021 pulse; high-content screen targeting symmetry breaking and patterning events; dual Wnt modulation,"Gastruloids exhibit spatial heterogeneity of pluripotency exit that causes binary response to Wnt activation, driving radial symmetry breaking, morphological changes, and axial elongation, with dual Wnt modulation enabling generation of gastruloids with anterior neural and endodermal structures.",PMC,10241222.0,False
37721864,2023,Generation of embryo-like structures from mouse embryonic stem cells treated with a chemical inhibitor of SUMOylation and cultured in microdroplets.,Tatiana … Jack-Christophe,STAR protocols,mouse,mESC unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,unclear,not reported,not reported,not reported,not reported,unclear,N,SUMOylation inhibitor treatment in microdroplets,Chemical inhibition of SUMOylation in mouse embryonic stem cells cultured in microdroplets generates highly reproducible gastruloids and embryo-like structures with anterior neural and trunk somite-like regions.,abstract only,10518363.0,False
38108463,2023,Gastruloids - a minimalistic model to study complex developmental metabolism.,Chaitanya … Ben,Emerging topics in life sciences,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,Gastruloids are an ideal reductionist system to uncover mechanistic links between developmental signalling pathways and metabolic networks.,abstract only,10754324.0,False
37604096,2023,The ever-growing world of gastruloids: autogenous models of mammalian embryogenesis.,E … Dm,Current opinion in genetics & development,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,N,none / descriptive study,"Gastruloids are tractable, scalable in vitro models of mammalian gastrulation that enable study of self-organisation, patterning and fate specification.",abstract only,,False
37686459,2023,In Vitro Embryogenesis and Gastrulation Using Stem Cells in Mice and Humans.,Yeon … Tae,International journal of molecular sciences,human,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,abstract only,10563085.0,False
37815089,2023,Gastruloid optimization.,Lara … Iftach,Emerging topics in life sciences,unspecified,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,N,not reported,not reported,not reported,not reported,N,Y,none / descriptive study,Robustness and reproducibility of gastruloids both within and between experiments are key to wide adoption for developmental modeling and drug screening applications.,PMC,10754328.0,False
36308705,2023,Gastruloids: A Novel System for Disease Modelling and Drug Testing.,Atoosa … Mubeen,Stem cell reviews and reports,mammalian,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,not reported,none / descriptive study,Gastruloids derived from pluripotent stem cells recapitulate key aspects of gastrula-stage embryos and provide a tractable in vitro tool suitable for high-throughput investigation of developmental and environmental aberrations.,abstract only,,False
35721464,2022,A combined human gastruloid model of cardiogenesis and neurogenesis.,T … L,iScience,human,H3.1.1,not reported,3,0,48,N2B27,"168, 384","brightfield, widefield-fluorescence, confocal","SOX2, GATA6, FOXA2, TUJ1, cTnT",Y,elongation,not reported,"120, 168",not reported,N,N,growth factor supplementation for cardiogenesis (VEGF and ascorbic acid addition at 48h post-aggregation),"Modified growth factor supplementation at 48 hours post-aggregation directs EMLO gastruloids toward cardiogenesis, generating elongated structures with chamber-like cavities, spontaneous contractility, and integrated neurogenesis by day 7.",PMC,9198845.0,False
34930826,2022,Circadian key component CLOCK/BMAL1 interferes with segmentation clock in mouse embryonic organoids.,Yasuhiro … Kazuhiro,Proceedings of the National Academy of Sciences of the United States of America,mouse,"KY1.1, E14TG2a, Per2 Luc",200-250,1,0,continuous,N2B27,96,"bioluminescence, live-imaging, in situ hybridization","Hes7-promoter-driven luciferase, Per2-luciferase, Uncx4.1 HCR probe",N,not reported,not reported,not reported,not reported,N,N,Doxycycline-inducible Clock/Bmal1 expression in gastruloids,Premature expression of circadian key components CLOCK/BMAL1 severely interferes with the ultradian rhythm of the segmentation clock in embryonic organoids and disrupts the striped structure of somite markers.,PMC,8746294.0,False
36102628,2022,"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and lineage representation in gastruloids.",Natalia … Aydan,"Development (Cambridge, England)",mammalian,E14,not reported,not reported,0,120,DMEM/high glucose with Glutamax,120,"brightfield, widefield-fluorescence","NANOG, CDX2, GATA4",Y,elongation,not reported,120,50,unclear,Y,Hypoxia exposure (2% O2 vs 20% O2),"Hypoxia induces an early primitive streak signature, enhancing spontaneous elongation and improving lineage representation in gastruloids, particularly through enhanced endoderm formation and mesodermal derivatives.",PMC,9578691.0,False
35079017,2022,Nodal is a short-range morphogen with activity that spreads through a relay mechanism in human gastruloids.,Lizhong … Aryeh,Nature communications,human,ESI-017,not reported,not reported,not reported,not reported,mTeSR1,40,"widefield-fluorescence, live-imaging","cNodal-mCitrine, Lefty, BRA, SOX2, pSmad2/3, mCherry-CAAX, CFP-H2B",N,not reported,not reported,not reported,not reported,N,N,Nodal/Lefty knockout and juxtaposition experiments to determine Nodal signaling range,"Nodal is a short-range morphogen that does not spread more than one cell diameter and propagates through a transcriptional relay mechanism, while Lefty protein spreads over 6-8 cell tiers but functions at short range during gastruloid patterning.",PMC,8789905.0,False
